alias,node_type,family_hint,notes
MSA,master,C1,
Master Agreement,master,C1,
Master Supply Agreement,master,C1,
Master Sales Agreement,master,C1,
Global Master Agreement,master,C1,
Global Framework Agreement,master,C1,
Umbrella Agreement,master,C1,
Global Procurement Agreement,master,C1,
Global Terms Agreement,master,C1,
LPA,participation,C1,
LIA,participation,C1,
PA,participation,C1,
MCA,participation,C1,
Local Participation Agreement,participation,C1,
Local Implementation Agreement,participation,C1,
Participation Agreement,participation,C1,
Master Country Agreement,participation,C1,
Country Addendum,participation,C1,
Accession Agreement,participation,C1,
Adherence Agreement,participation,C1,
Joinder,participation,C1,
Affiliate Agreement,participation,C1,
Local Country Agreement,participation,C1,
Supply Agreement,master,C2,their label for us on their paper
Sales Agreement,master,C2,their label for us on their paper
Master Purchase Agreement,master,C2,their label for us on their paper
Vendor Agreement,master,C2,their label for us on their paper
Procurement Agreement,master,C2,their label for us on their paper
Trading Agreement,master,C2,their label for us on their paper
Commercial Agreement,master,C2,their label for us on their paper
Supplier Agreement,master,C2,their label for us on their paper
Framework Agreement,master,C3,
Framework Supply Agreement,master,C3,
Pricing Agreement,master,C3,
LTA,master,C3,
Long-Term Agreement,master,C3,
Preferred Supplier Agreement,master,C3,
Blanket Order Agreement,master,C3,
CAF,master,C4,"anchor, quasi-framework"
Customer Account Application Form,master,C4,"anchor, quasi-framework"
Account Application,master,C4,"anchor, quasi-framework"
Account Opening Form,master,C4,"anchor, quasi-framework"
Credit Application,master,C4,"anchor, quasi-framework"
Trade Account Form,master,C4,"anchor, quasi-framework"
Vendor Registration Form,master,C4,their rival anchor
Supplier Onboarding Form,master,C4,their rival anchor
Supplier Setup Form,master,C4,their rival anchor
Terms of Sale,shared_terms,C4,
Terms and Conditions of Sale,shared_terms,C4,
Conditions of Sale,shared_terms,C4,
General Conditions,shared_terms,C4,
Standard Terms,shared_terms,C4,
VAS Agreement,master,C5,
Value-Added Services Schedule,master,C5,
Supply Chain Services Agreement,master,C5,
Kitting Agreement,master,C5,
Cutting Services Schedule,master,C5,
Configuration Services Schedule,master,C5,
Services MSA,master,C6,
Master Services Agreement,master,C6,
Professional Services Agreement,master,C6,
Installation Services Agreement,master,C6,
SOW,work_instrument,C6,
Statement of Work,work_instrument,C6,
Work Order,work_instrument,C6,
Service Order,work_instrument,C6,
Task Order,work_instrument,C6,
Project Order,work_instrument,C6,
Change Order,change,C6,
Change Control Note,change,C6,
CCN,change,C6,
NEC Subcontract,master,C7,
JCT Subcontract,master,C7,
FIDIC Subcontract,master,C7,
Works Order,master,C7,
Project Supply Agreement,master,C7,
Trade Contract,master,C7,
Variation Order,change,C7,
Compensation Event,change,C7,
Variation Instruction,change,C7,
Performance Bond,security,C7,
Advance Payment Bond,security,C7,
Retention Bond,security,C7,
Collateral Warranty,security,C7,
Parent Company Guarantee,security,C7,
Exceptions List,change,C8,
Exceptions and Clarifications,change,C8,
Deviations List,change,C8,
Comments Sheet,change,C8,
Bid Qualifications,change,C8,
General Conditions of Purchase,shared_terms,C8,
GC,shared_terms,C8,
General Terms and Conditions of Purchase,shared_terms,C8,
