code,name,category,family_test,key_properties,complexity_summary,sali_iri
C1,Global master with local participation,Customers,"This family exists where one negotiated agreement is intended to be adopted by multiple legal entities, and adoption happens through a per-entity instrument, signed or deemed. The defining structure is the participation layer sitting between the master and local trading. If that layer exists the contract belongs here, whatever the cover page says and whoever's paper it is on. A group agreement merely referenced by local entities with no adoption mechanism is C2 with scope recorded as group-referenced.","scope: global | paper: ours or theirs | commercial completeness: no | participation status: signed or deemed | flow-down: yes, no or per accession","Two amendment chains, global and local, that drift apart; the accession edge carries the flow-down property, or each global amendment gets explicit flows-down-to edges to the LPAs that adopted it. Deemed participation (affiliates may order hereunder) still creates a participation node per entity, status deemed rather than signed. The varies edges from local amendments to master clauses are the highest-value edges in the family.",pending mapping
C2,"Negotiated master, single scope",Customers,"One negotiated instrument carrying relationship terms (liability, warranty, compliance) for a single legal entity or a group by loose reference, with commercials left to each transaction. No participation layer and no self-executing commercial layer. Either paper: a customer-paper procurement master is this family with paper recorded as theirs and its own alias set.","scope: single or group-referenced | paper: ours, theirs or hybrid | commercial completeness: no | commitment: none to target","The word Addendum names two different node types here: an amendment and a new component. Type is assigned by what the document does. URL-incorporated policies change without signature, so every incorporates edge carries version and capture date.",pending mapping
C3,Framework with call-off,Customers,"A master plus a versioned commercial layer (price list, blanket structure) that makes call-offs self-executing: an order alone completes a contract on pre-agreed commercials. The test against C2 is commercial completeness. Mostly customer paper in practice.",commercial completeness: yes | commitment: often volume or target | scope: usually single,"Almost all change happens in schedules and letters, not formal amendments; the supersedes chain on the price list is the family's spine. The blanket order inserts a level between framework and delivery: framework, blanket, release.",pending mapping
C4,Account-based trading on standard terms,Customers,"No negotiated master. Where a Customer Account Application Form (CAF) is in place it binds the customer into our terms of sale and acts as a quasi-framework anchoring the account. Where it is absent, each order is a battle of the forms resolved order by order. Customer Vendor Registration Forms attempting the mirror move are recorded as rival instruments at the same level. By volume this is the biggest family a distributor has.",anchor present: yes or no | terms version in force: by order date | last shot: ours or theirs per order,"Each order must point at the version of the shared terms in force on its date; the shared terms node has thousands of incoming edges, which is where the structure stops being a tree. Battle of the forms is a conflicts-with edge carrying a last-shot property, resolved per order, never per relationship.",pending mapping
C5,Supply-chain and value-added services,Customers,"Services that change or prepare the product itself: staging, kitting, cutting, configuration, labelling, testing. Usually a schedule under a C1 to C3 master, sometimes a standalone VAS agreement. Distinct from C6 because the deliverable is the modified product flowing through the ordinary order stream, not a scoped project.","attachment: schedule under C1 to C3, or standalone | pricing: per line, per operation or bundled","Specifications live under change control and version faster than the master; the supersedes chain sits at spec level. POs must reference the VAS lines, so the transaction layer carries edges into the schedule, not just the master.",pending mapping
C6,General services and works,Customers,"Services with a defined scope delivered as projects: installation, commissioning, design, general contracting. The shape is master to SOW to change order, with pricing per SOW or quote; rate cards are rare in distribution. Includes standalone SOWs for design work (racking layout, wiring layout, assembly design) placed under standard terms with no master at all.",precedence: per SOW (SOW over master or master over SOW) | pricing: per SOW or quote | standalone SOW: incorporates shared terms,"Change orders amend the SOW, not the master; the SOW-versus-master precedence can differ per SOW and is a property, not an assumption. Installation work is typically subcontracted, which creates back-to-back edges into S10.",pending mapping
C7,Industry model form projects,Customers,"Project supply or subcontract on an industry model form: NEC, JCT, FIDIC with schedules of amendments. Main-contract conditions are stepped down by incorporation, often without the distributor ever holding the main contract, which is flagged on the incorporates edge. Bonds and collateral warranties attach through the security overlay.","paper: model form | model form: NEC, JCT, FIDIC, other | main contract held: yes or no","The incorporated main-contract conditions may not be in the file; the flag on the edge is the risk register entry. Bonds and warranties have their own lifecycle (expiry, release, calls) independent of the subcontract.",pending mapping
C8,EPC exceptions pattern,Customers,"An EPC contractor puts its terms in front of us at bid stage and asks for a list of exceptions. The exceptions and clarifications list, in whatever form it takes, is memorialised in special conditions. The executed instrument is a layered, pre-agreed PO incorporating general conditions, special conditions prevailing over them, and a body of technical exhibits. The family question is whether the exceptions list survives as its own instrument or merges into the special conditions; this model keeps it alive as a node with a memorialised-in edge.",paper: theirs | precedence chain: SC over GC over exhibits (verify per deal) | exceptions list: survives or merged,"The PO is the execution event for the whole stack, so its incorporates edges carry the entire contract. Prevails-over edges matter more than the tree here; a wrong precedence chain is the family's characteristic failure.",pending mapping
C9,"Consignment, VMI, DLF and integrated supply",Customers,"Our stock held at the customer's site with title passing on consumption. VMI adds our management of replenishment; DLF (direct line feed) adds our personnel on site filling bins, racks or any other min/max system. Integrated supply and in-plant store variants extend the same shape. The defining structure is site schedules and min/max lists changing monthly under a stable master, settled against consumption reports.","title transfer: on consumption | on-site labour: none, VMI-managed or DLF | site link: covers-site edges into master data","The min/max list supersedes monthly; treat it as a versioned component or the graph drowns in amendments. Site schedules carry covers-site edges into master data, which is what makes site-level questions answerable.",pending mapping
C10,Reseller and sub-distributor,Customers,"The customer resells onward. Territory and product schedules constrain the appointment, and vendor end-user terms flow down through us into the customer's tree, which creates deliberate edges from S1 shared nodes into this family.",appointment: yes (by us) | territory and product constraints: schedule level | flow-down source: S1 family,The flows-down-to edges from vendor terms are cross-category and cross-relationship; they are exactly what a folder structure cannot show.,pending mapping
